Date,Clicks,Impressions,CTR,Position
2026-02-17,2,40,5%,14.1
2026-02-18,2,37,5.41%,12.7
2026-02-19,2,34,5.88%,10.3
2026-02-20,1,27,3.7%,11.8
2026-02-21,0,25,0%,23.2
2026-02-22,1,28,3.57%,15.4
2026-02-23,3,32,9.38%,14.2
2026-02-24,3,41,7.32%,9.6
2026-02-25,1,41,2.44%,19.6
2026-02-26,0,41,0%,19.7
2026-02-27,0,60,0%,15.9
2026-02-28,0,44,0%,17.3
2026-03-01,1,39,2.56%,18.3
2026-03-02,0,14,0%,16.9
2026-03-03,1,19,5.26%,16.7
2026-03-04,0,4,0%,12
2026-03-05,0,20,0%,15.3
2026-03-06,0,22,0%,18.9
2026-03-07,0,22,0%,18.7
2026-03-08,1,18,5.56%,22.3
2026-03-09,3,23,13.04%,12.2
2026-03-10,1,27,3.7%,17.6
2026-03-11,0,29,0%,17.2
2026-03-12,1,26,3.85%,17.5
2026-03-13,0,32,0%,7.4
2026-03-14,0,17,0%,11.1
2026-03-15,1,18,5.56%,12.5
2026-03-16,0,23,0%,22.9
2026-03-17,0,18,0%,11.6
2026-03-18,1,23,4.35%,7.7
2026-03-19,0,23,0%,6
2026-03-20,0,22,0%,9.6
2026-03-21,0,14,0%,16.4
2026-03-22,0,20,0%,8.6
2026-03-23,0,20,0%,15.2
2026-03-24,0,30,0%,25.6
2026-03-25,0,40,0%,18.6
2026-03-26,0,46,0%,18.4
2026-03-27,2,26,7.69%,10.5
2026-03-28,0,23,0%,16
2026-03-29,0,17,0%,8.6
2026-03-30,0,30,0%,14.6
2026-03-31,1,34,2.94%,6.7
2026-04-01,0,29,0%,9.9
2026-04-02,0,29,0%,8.2
2026-04-03,0,30,0%,17.6
2026-04-04,0,32,0%,6.9
2026-04-05,2,25,8%,11.9
2026-04-06,0,26,0%,9.9
2026-04-07,0,26,0%,8.5
2026-04-08,0,25,0%,11.2
2026-04-09,0,31,0%,5.6
2026-04-10,0,23,0%,19.8
2026-04-11,0,37,0%,10
2026-04-12,0,17,0%,9.6
2026-04-13,0,23,0%,15
2026-04-14,0,32,0%,13.8
2026-04-15,2,36,5.56%,8
2026-04-16,1,29,3.45%,14.9
2026-04-17,1,38,2.63%,13
2026-04-18,0,26,0%,13.3
2026-04-19,0,20,0%,8.7
2026-04-20,0,19,0%,6.3
2026-04-21,1,66,1.52%,14.3
2026-04-22,2,116,1.72%,13
2026-04-23,0,25,0%,17.2
2026-04-24,1,52,1.92%,12.8
2026-04-25,0,13,0%,22.5
2026-04-26,0,20,0%,14.9
2026-04-27,2,79,2.53%,14.4
2026-04-28,0,16,0%,15.4
2026-04-29,2,131,1.53%,15.5
2026-04-30,0,18,0%,7.6
2026-05-01,0,23,0%,21.2
