Country,Clicks,Impressions,CTR,Position
India,42,2091,2.01%,14.09
United States,0,124,0%,9.36
Australia,0,11,0%,64.82
United Kingdom,0,8,0%,18.38
Singapore,0,6,0%,6.67
Canada,0,4,0%,6.25
Italy,0,3,0%,9.33
Spain,0,3,0%,10
Japan,0,3,0%,11.67
Turkey,0,2,0%,6
Finland,0,2,0%,7.5
Vietnam,0,2,0%,7.5
Argentina,0,2,0%,8
United Arab Emirates,0,2,0%,10
Indonesia,0,2,0%,10
Philippines,0,2,0%,11.5
South Africa,0,2,0%,12.5
Thailand,0,2,0%,13
Hungary,0,2,0%,16.5
Poland,0,2,0%,16.5
France,0,2,0%,17.5
Afghanistan,0,1,0%,1
Bangladesh,0,1,0%,1
Georgia,0,1,0%,1
Saudi Arabia,0,1,0%,1
Malaysia,0,1,0%,2
Brazil,0,1,0%,4
Peru,0,1,0%,4
Ecuador,0,1,0%,6
Sweden,0,1,0%,7
Iran,0,1,0%,9
Qatar,0,1,0%,9
Egypt,0,1,0%,11
Germany,0,1,0%,12
Iraq,0,1,0%,12
Cambodia,0,1,0%,12
Portugal,0,1,0%,12
Chad,0,1,0%,12
Zimbabwe,0,1,0%,12
Hong Kong,0,1,0%,13
China,0,1,0%,15
Pakistan,0,1,0%,17
Serbia,0,1,0%,18
Morocco,0,1,0%,20
Croatia,0,1,0%,52
